ACC=0.714919, f1_macro=0.697763, precision_macro=0.728297, recall_macro=0.702740, f1_micro=0.714919, precision_micro=0.714919, recall_micro=0.714919, NMI=0.504717, ADJ_RAND_SCORE=0.479490
ACC=0.718612, f1_macro=0.701268, precision_macro=0.731579, recall_macro=0.706519, f1_micro=0.718612, precision_micro=0.718612, recall_micro=0.718612, NMI=0.504452, ADJ_RAND_SCORE=0.483268
ACC=0.715288, f1_macro=0.698380, precision_macro=0.727157, recall_macro=0.705964, f1_micro=0.715288, precision_micro=0.715288, recall_micro=0.715288, NMI=0.505931, ADJ_RAND_SCORE=0.481543
ACC=0.718242, f1_macro=0.700598, precision_macro=0.731143, recall_macro=0.706110, f1_micro=0.718242, precision_micro=0.718242, recall_micro=0.718242, NMI=0.508061, ADJ_RAND_SCORE=0.485415
ACC=0.715657, f1_macro=0.696760, precision_macro=0.728076, recall_macro=0.702228, f1_micro=0.715657, precision_micro=0.715657, recall_micro=0.715657, NMI=0.504510, ADJ_RAND_SCORE=0.483933
ACC=0.715288, f1_macro=0.697038, precision_macro=0.730628, recall_macro=0.701502, f1_micro=0.715288, precision_micro=0.715288, recall_micro=0.715288, NMI=0.507561, ADJ_RAND_SCORE=0.486004
ACC=0.720827, f1_macro=0.702762, precision_macro=0.736052, recall_macro=0.707590, f1_micro=0.720827, precision_micro=0.720827, recall_micro=0.720827, NMI=0.510056, ADJ_RAND_SCORE=0.489689
ACC=0.717134, f1_macro=0.699991, precision_macro=0.734735, recall_macro=0.704291, f1_micro=0.717134, precision_micro=0.717134, recall_micro=0.717134, NMI=0.506239, ADJ_RAND_SCORE=0.480804
ACC=0.724151, f1_macro=0.704072, precision_macro=0.735270, recall_macro=0.706809, f1_micro=0.724151, precision_micro=0.724151, recall_micro=0.724151, NMI=0.508896, ADJ_RAND_SCORE=0.496281
ACC=0.723043, f1_macro=0.705411, precision_macro=0.739362, recall_macro=0.709435, f1_micro=0.723043, precision_micro=0.723043, recall_micro=0.723043, NMI=0.515741, ADJ_RAND_SCORE=0.494726
ACC=0.722304, f1_macro=0.702852, precision_macro=0.736466, recall_macro=0.706313, f1_micro=0.722304, precision_micro=0.722304, recall_micro=0.722304, NMI=0.512907, ADJ_RAND_SCORE=0.495268
ACC=0.727843, f1_macro=0.708083, precision_macro=0.741627, recall_macro=0.712053, f1_micro=0.727843, precision_micro=0.727843, recall_micro=0.727843, NMI=0.519350, ADJ_RAND_SCORE=0.504935
ACC=0.724889, f1_macro=0.705979, precision_macro=0.738972, recall_macro=0.709279, f1_micro=0.724889, precision_micro=0.724889, recall_micro=0.724889, NMI=0.515008, ADJ_RAND_SCORE=0.497230
ACC=0.724889, f1_macro=0.704475, precision_macro=0.738898, recall_macro=0.710166, f1_micro=0.724889, precision_micro=0.724889, recall_micro=0.724889, NMI=0.515066, ADJ_RAND_SCORE=0.503386
ACC=0.731905, f1_macro=0.711892, precision_macro=0.743018, recall_macro=0.717954, f1_micro=0.731905, precision_micro=0.731905, recall_micro=0.731905, NMI=0.524360, ADJ_RAND_SCORE=0.513136
ACC=0.731167, f1_macro=0.711397, precision_macro=0.745455, recall_macro=0.716588, f1_micro=0.731167, precision_micro=0.731167, recall_micro=0.731167, NMI=0.525208, ADJ_RAND_SCORE=0.511921
ACC=0.727843, f1_macro=0.708779, precision_macro=0.741475, recall_macro=0.712637, f1_micro=0.727843, precision_micro=0.727843, recall_micro=0.727843, NMI=0.522555, ADJ_RAND_SCORE=0.507361
ACC=0.734490, f1_macro=0.713516, precision_macro=0.745467, recall_macro=0.717028, f1_micro=0.734490, precision_micro=0.734490, recall_micro=0.734490, NMI=0.525813, ADJ_RAND_SCORE=0.519763
ACC=0.733752, f1_macro=0.712674, precision_macro=0.743200, recall_macro=0.717778, f1_micro=0.733752, precision_micro=0.733752, recall_micro=0.733752, NMI=0.524693, ADJ_RAND_SCORE=0.517383
ACC=0.731905, f1_macro=0.711895, precision_macro=0.744323, recall_macro=0.717397, f1_micro=0.731905, precision_micro=0.731905, recall_micro=0.731905, NMI=0.521720, ADJ_RAND_SCORE=0.512159
ACC=0.734490, f1_macro=0.713223, precision_macro=0.746116, recall_macro=0.718028, f1_micro=0.734490, precision_micro=0.734490, recall_micro=0.734490, NMI=0.527766, ADJ_RAND_SCORE=0.520439
ACC=0.735229, f1_macro=0.716350, precision_macro=0.748979, recall_macro=0.721955, f1_micro=0.735229, precision_micro=0.735229, recall_micro=0.735229, NMI=0.530834, ADJ_RAND_SCORE=0.518078
ACC=0.734490, f1_macro=0.714168, precision_macro=0.746314, recall_macro=0.721328, f1_micro=0.734490, precision_micro=0.734490, recall_micro=0.734490, NMI=0.525640, ADJ_RAND_SCORE=0.518283
ACC=0.734121, f1_macro=0.713031, precision_macro=0.744829, recall_macro=0.719654, f1_micro=0.734121, precision_micro=0.734121, recall_micro=0.734121, NMI=0.525697, ADJ_RAND_SCORE=0.518392
ACC=0.740399, f1_macro=0.720315, precision_macro=0.752156, recall_macro=0.726825, f1_micro=0.740399, precision_micro=0.740399, recall_micro=0.740399, NMI=0.535171, ADJ_RAND_SCORE=0.526758
